"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1,C18,C19";"Capacitors_SMD:C_0402";3;"10nF";;;
2;"C3,C11";"Capacitors_SMD:C_1206";2;"GRM31CC8YA106KA12L - 10µF LE";;;
3;"C5,C13";"Capacitors_SMD:C_0402";2;"GMK105BJ104KV-F 0.1µF LE";;;
4;"C6,C14";"Capacitors_SMD:C_0402";2;"C0402C120J3GACTU 12pF LE";;;
5;"C7,C15";"Capacitors_SMD:C_0402";2;"C0402C121J5GACTU 120pF LE";;;
6;"C8,C9,C16,C17";"Capacitors_SMD:C_1206";4;"GRM31CR60J476KE19L 47µF LE";;;
7;"C12,C4";"Capacitors_SMD:C_1206";2;"GMK105BJ104KV-F 0.1µF LE";;;
8;"D1,D2";"Diodes_SMD:DO-214AB";2;"VS-30BQ040TRPBF SCHOTTKY";;;
9;"D3";"risebox:DIODE_SOD-123";1;"MMSZ4678T1G ZENER";;;
10;"D4,D6,D9,D12,D13,D16";"ab2tech:AB2_DO-214AC";6;"RS1A DIODE";;;
11;"D8,D15";"risebox:LED_KPH_1608";2;"KPH-1608EC";;;
12;"D10";"risebox:DIODE_SOD-323";1;"PMEG2015EJ,115 DIODE";;;
13;"D11";"risebox:LED_KPH_1608";1;"KPT-1608YC";;;
14;"D14";"risebox:DIODE_SOD-123";1;"MMSZ4678T1G  ZENER";;;
15;"F1";"risebox:LITTELFUSE_0154002.DR";1;"0154002.DR  LITTELFUSE";;;
16;"L1,L2";"risebox:SELF_COILCRAFT_XAL6060-153";2;"XAL6060-153MEC - 15µH - 6A";;;
17;"P4";"Connect:PINHEAD1-3";1;"PH Probe";;;
18;"Q1,Q4,Q6,Q7";"risebox:SOT-23-FET";4;"2N7002";;;
19;"Q2";"risebox:SOT-23-FET";1;"FDN337N";;;
20;"Q5,Q8";"risebox:SOT-23-FET";2;"BSS84P H6327";;;
21;"R1";"Resistors_SMD:R_0603";1;"24.3K";;;
22;"R2";"Resistors_SMD:R_0603";1;"11.5K";;;
23;"R4,R11";"Resistors_SMD:R_0603";2;"43.2K";;;
24;"R5,R12";"Resistors_SMD:R_0603";2;"143K";;;
25;"R6,R13";"Resistors_SMD:R_0603";2;"3.74K";;;
26;"R7,R14";"Resistors_SMD:R_0603";2;"51.1";;;
27;"R8,R15";"Resistors_SMD:R_0603";2;"100K";;;
28;"R9";"Resistors_SMD:R_0603";1;"680";;;
29;"R16";"Resistors_SMD:R_0603";1;"17.4K";;;
30;"R17,R37,R50";"Resistors_SMD:R_0603";3;"470";;;
31;"R18,R35,R42,R45,R51,R54,R57";"Resistors_SMD:R_0603";7;"100";;;
32;"R19,R23,R24,R29,R30,R40,R43,R48,R52,R55,R56";"Resistors_SMD:R_0603";11;"10K";;;
33;"R20";"Resistors_SMD:R_0603";1;"3.3K";;;
34;"R21";"Resistors_SMD:R_0603";1;"1.8K";;;
35;"R22,R25,R26,R28,R31,R33,R34,R36";"Resistors_SMD:R_0603";8;"1K";;;
36;"R27,R32";"Resistors_SMD:R_0603";2;"4.7K";;;
37;"R38";"Resistors_SMD:R_0603";1;"12.4K";;;
38;"R46";"Resistors_SMD:R_0603";1;"71.5K";;;
39;"R49";"Resistors_SMD:R_0603";1;"200";;;
40;"R53";"Resistors_SMD:R_0603";1;"16K";;;
41;"SW1";"risebox:SPDT_MSS3112D";1;"MSS3112D";;;
42;"U1";"bbb:BBB";1;"bbb";;;
43;"U5";"ab2tech:AB2_SOT223";1;"LM317";;;
44;"BT1";"smisioto_bornier_mpt:mpt_0,5%2f2-2,54";1;"BATTERY";;;
45;"P1";"smisioto_bornier_mpt:mpt_0,5%2f2-2,54";1;"RELAY_PUMP";;;
46;"P2";"smisioto_bornier_mpt:mpt_0,5%2f2-2,54";1;"ALIM_SECTEUR";;;
47;"P3";"smisioto_bornier_mpt:mpt_0,5%2f4-2,54";1;"LOWER_FANS";;;
48;"P5";"smisioto_bornier_mpt:mpt_0,5%2f4-2,54";1;"Tank Level Sensor";;;
49;"P6";"smisioto_bornier_mpt:mpt_0,5%2f6-2,54";1;"UPPER_LEDS";;;
50;"P7";"smisioto_bornier_mpt:mpt_0,5%2f6-2,54";1;"LOWER_LEDS";;;
51;"P8";"smisioto_bornier_mpt:mpt_0,5%2f4-2,54";1;"USER_PANEL";;;
52;"P9";"smisioto_bornier_mpt:mpt_0,5%2f4-2,54";1;"LOWER_BED";;;
53;"P10";"smisioto_bornier_mpt:mpt_0,5%2f3-2,54";1;"WTemp probe";;;
54;"P11";"smisioto_bornier_mpt:mpt_0,5%2f4-2,54";1;"UPPER_BED";;;
55;"P12";"smisioto_bornier_mpt:mpt_0,5%2f4-2,54";1;"UPPER_FANS";;;
56;"P15";"smisioto_bornier_mpt:mpt_0,5%2f3-2,54";1;"Air probe";;;
57;"P18";"smisioto_bornier_mpt:mpt_0,5%2f2-2,54";1;"RELAY_AIRPUMP";;;
58;"P19";"smisioto_bornier_mpt:mpt_0,5%2f2-2,54";1;"Power button";;;
59;"C2,C10";"Capacitors_SMD:C_1206";2;"10nF";;;
60;"U2,U3";"risebox:DCDC-TPS54335A";2;"DCDC_TI_TPS54335A";;;
61;"R3,R10";"Resistors_SMD:R_0805";2;"220K";;;
62;"P20";"smisioto_he10:vasch_strip_13x2";1;"T821126A1S100CEU  HE10-26";;;
63;"R47";"Resistors_SMD:R_0805";1;"11.8K";;;
