"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1,C18";"C_0402";2;"10nF";;;
2;"C3,C11";"C_1206";2;"GRM31CC8YA106KA12L - 10µF LE";;;
3;"C5,C13";"C_0402";2;"GMK105BJ104KV-F 0.1µF LE";;;
4;"C6,C14";"C_0402";2;"C0402C120J3GACTU 12pF LE";;;
5;"C7,C15";"C_0402";2;"C0402C121J5GACTU 120pF LE";;;
6;"C8,C9,C16,C17";"C_1206";4;"GRM31CR60J476KE19L 47µF LE";;;
7;"C12,C4";"C_1206";2;"GMK105BJ104KV-F 0.1µF LE";;;
8;"D1,D2";"DO-214AB";2;"VS-30BQ040TRPBF SCHOTTKY";;;
9;"D3";"DIODE_SOD-123";1;"MMSZ4678T1G ZENER";;;
10;"D4,D6,D9,D12,D13,D16";"AB2_DO-214AC";6;"RS1A DIODE";;;
11;"D5";"DIODE_SMB_Standard";1;"1SMB5935BT3G";;;
12;"D7";"DIODE_SOD-123";1;"MMSZ4701-E3-08 ZENER";;;
13;"D8,D15";"LED_KPH_1608";2;"KPH-1608EC";;;
14;"D10";"DIODE_SOD-323";1;"PMEG2015EJ,115 DIODE";;;
15;"D11";"LED_KPH_1608";1;"KPT-1608YC";;;
16;"D14";"DIODE_SOD-123";1;"MMSZ4678T1G  ZENER";;;
17;"F1";"LITTELFUSE_0154002.DR";1;"0154002.DR  LITTELFUSE";;;
18;"L1,L2";"SELF_COILCRAFT_XAL6060-153";2;"XAL6060-153MEC - 15µH - 6A";;;
19;"P4";"PINHEAD1-3";1;"PH Probe";;;
20;"Q1,Q2,Q4,Q6,Q7";"SOT-23-FET";5;"2N7002";;;
21;"Q3";"SOT126_SOT32_Housing_Vertical";1;"BD140";;;
22;"Q5";"SOT-23-FET";1;"BSS84P H6327";;;
23;"R1";"R_0603";1;"24.3K";;;
24;"R2";"R_0603";1;"11.5K";;;
25;"R4,R11";"R_0603";2;"43.2K";;;
26;"R5,R12";"R_0603";2;"143K";;;
27;"R6,R13";"R_0603";2;"3.74K";;;
28;"R7,R14";"R_0603";2;"51.1";;;
29;"R8,R15";"R_0603";2;"100K";;;
30;"R9";"R_0603";1;"680";;;
31;"R16";"R_0603";1;"17.4K";;;
32;"R17,R37,R50";"R_0603";3;"470";;;
33;"R18,R35,R42,R45,R51";"R_0603";5;"100";;;
34;"R19,R22,R25,R26,R28,R31,R33,R34,R36,R52";"R_0603";10;"1K";;;
35;"R20";"R_0603";1;"3.3K";;;
36;"R21";"R_0603";1;"1.8K";;;
37;"R23,R24,R29,R30,R40,R43,R48";"R_0603";7;"10K";;;
38;"R27,R32";"R_0603";2;"4.7K";;;
39;"R38";"R_0603";1;"36K";;;
40;"R46";"R_0603";1;"71.5K";;;
41;"R49";"R_0603";1;"200";;;
42;"R53";"R_0603";1;"16K";;;
43;"SW1";"SPDT_MSS3112D";1;"MSS3112D";;;
44;"U1";"BBB";1;"bbb";;;
45;"U5";"AB2_SOT223";1;"LM317";;;
46;"BT1";"mpt_0,5%2f2-2,54";1;"BATTERY";;;
47;"P1";"mpt_0,5%2f2-2,54";1;"RELAY_PUMP";;;
48;"P2";"mpt_0,5%2f2-2,54";1;"ALIM_SECTEUR";;;
49;"P3";"mpt_0,5%2f4-2,54";1;"LOWER_FANS";;;
50;"P5";"mpt_0,5%2f4-2,54";1;"Tank Level Sensor";;;
51;"P6";"mpt_0,5%2f6-2,54";1;"UPPER_LEDS";;;
52;"P7";"mpt_0,5%2f6-2,54";1;"LOWER_LEDS";;;
53;"P8";"mpt_0,5%2f4-2,54";1;"USER_PANEL";;;
54;"P9";"mpt_0,5%2f4-2,54";1;"LOWER_BED";;;
55;"P10";"mpt_0,5%2f3-2,54";1;"WTemp probe";;;
56;"P11";"mpt_0,5%2f4-2,54";1;"UPPER_BED";;;
57;"P12";"mpt_0,5%2f4-2,54";1;"UPPER_FANS";;;
58;"P15";"mpt_0,5%2f3-2,54";1;"Air probe";;;
59;"P18";"mpt_0,5%2f2-2,54";1;"RELAY_AIRPUMP";;;
60;"P19";"mpt_0,5%2f2-2,54";1;"Power button";;;
61;"C2,C10";"C_1206";2;"10nF";;;
62;"U2,U3";"DCDC-TPS54335A";2;"DCDC_TI_TPS54335A";;;
63;"R3,R10";"R_0805";2;"220K";;;
64;"P20";"vasch_strip_13x2";1;"HE10-26";;;
65;"R47";"R_0805";1;"11.8K";;;
66;"REF**,REF**,REF**,REF**";"1pin";4;"1pin";;;
67;"R41";"R_0805";1;"56";;;
68;"R44";"R_0805";1;"10K";;;
69;"R39";"R_0805";1;"5K";;;
